size_bytes,condition,result,exit_code
65536,clean,PASS,0
65536,tamper_payload,FAIL,1
65536,tamper_header,FAIL,1
65536,mismatch_key,FAIL,1
1048576,size_mismatch,FAIL,1
65536,version_new,PASS,0
65536,version_old,FAIL,1
65536,version_equal,FAIL,1
65536,ab_fallback,PASS,0
65536,ab_both_fail,FAIL,1
65536,ab_mixed_keys,PASS,0
65536,field_all_old,FAIL,1
65536,powercut_header_only,PASS,0
65536,ab_mixed_keys,PASS,0
65536,field_all_old,FAIL,1
65536,key_both_allowed_old,PASS,0
65536,key_both_allowed_new,PASS,0
65536,key_old_revoked,FAIL,1
65536,key_new_allowed,PASS,0
